Storage Interface,Colour,Screen Details,RAM Type,Removable Battery,RAM,Display Type,Weight,USB 3.1,Hard Drive RPM,USB 2.0,Touchscreen,Processor Brand,Webcam Resolution,Screen Resolution,Technologies,Input,Pointer Input,Processor,Adapter,Processor Details,Fingerprint Scanner,RJ45 LAN (Ethernet),Graphics Memory Type,Memory Slots,WiFi,Warranty,RAM Expandable Upto,Storage Type,Graphics Processor,2 in 1 Laptop (Convertible),HDMI,Bluetooth,VGA,Processor Clock Speed,Optical Drive,Video Recording,Warranty Details,Battery Type,Micro USB,Webcam,OS Version,Sales Package,Chipset,USB 3.0,Dimensions (mm),RAM Frequency,Cache,Keyboard,Secondary Storage Capacity,Storage Capacity,Mini DisplayPort,Lockport,Operating System,Battery Cell,Processor Model,Media Card Support,Speakers,Battery Capacity,Dedicated Graphics Memory,Warranty Type,USB Type C,Battery Life (Upto),SIM Card Slot,Screen Size
 SATA , Black , Full HD LED Backlit Anti-glare Display , DDR4 ,, 4GB 6 / 10 , LED , 2.25 kg ,, 5400 RPM ," Yes, 1 ", No , Intel ,, 1920 x 1080 pixels 9 / 10 , Waves MaxxAudio Pro ," Microphone Jack, Headphone + Microphone Combo Jack, Headphone Jack ", Trackpad , Intel Core i3 (6th Gen) 8 / 10 , 40 W ,, No ,,,1," Yes, 802.11 b/g/n ", 1 Year , Upto 16GB , HDD , Intel HD Graphics 520 ,,," Yes, 4.0 ",, 2GHz ," Yes, DVD Writer ", 720p HD ,, Li-Ion ,, Yes 10 / 10 , Windows 10 ," Laptop, Power Adapter & Cable, Quick Start Guide ",," Yes, 2 ", 380 x 260.3 x 22.1 , 2133MHz ,, QWERTY ,, 1TB 10 / 10 ,, No , Windows , 4 Cell , 6006U ," SD, SDHC, SDXC ", Dual speakers ,,,,,,, 15.6 inch 
 SATA , Silver , HD LED Backlit Anti-Glare TN Display , DDR4 ,, 4GB 8 / 10 , LED , 1.79 kg ,, 5400 RPM ," Yes, 1 ", No , Intel ,, 1366 x 768 pixels 7 / 10 ,," Microphone Jack, Headphone + Microphone Combo Jack, Headphone Jack ", Trackpad , Intel Core i3 (7th Gen) 8 / 10 , 45 W ,, No ,,,1," Yes, 802.11 a/b/g/n/ac ", 1 Year ,, HDD , Intel HD Graphics 620 ,,," Yes, 4.2 ",, 2.3GHz , No , 720p HD ,, Li-Ion ,, Yes 10 / 10 ,," Laptop, Power Adapter & Cable, Quick Start Guide ",,, 339 x 241.9 x 19.9 , 2133MHz ,, QWERTY ,, 1TB 10 / 10 ,, Yes 10 / 10 , Linux , 3 Cell , 7020U ," SD, SDHC, SDXC ", Dual speakers ,,,,, 6 hours ,, 14 inch 
 SATA , Black , HD LED Backlit Anti-Glare TN Display , DDR4 ,, 8GB 8 / 10 , LED , 1.79 kg ,, 5400 RPM ," Yes, 1 ", No , Intel ,, 1366 x 768 pixels 7 / 10 ,," Headphone Jack, Microphone Jack, Headphone + Microphone Combo Jack ", Trackpad , Intel Core i5 (8th Gen) 10 / 10 , 45 W , 8265U , No ,,,1," Yes, 802.11 a/b/g/n/ac ", 1 Year ,, HDD , AMD Radeon 520 ,,," Yes, 4.2 ",, 1.6GHz , No , 720p HD ,, Li-Ion ,, Yes 10 / 10 , Windows 10 ," Laptop, Power Adapter & Cable, Quick Start Guide ",,, 339 x 241.9 x 19.9 , 2666MHz ,, QWERTY ,, 1TB 10 / 10 ,, No , Windows , 3 Cell ,," SD, SDHC, SDXC ", Dual speakers ,, 2GB Graphics ,,, 6 hours ,, 14 inch 
 SATA , Black , HD LED Backlit Truelife Display , DDR3 ,, 4GB 6 / 10 ,, 2.2 kg ,, 5400 RPM ," Yes, 2 ", No , Intel ,, 1366 x 768 pixels 8 / 10 ,," Headphone Jack, Microphone Jack ", Trackpad , Intel Core i3 (5th Gen) 7 / 10 ,, 2 Cores , No , Yes ,,2," Yes, 802.11 b/g/n ", 1 Year ,, HDD , Intel HD Graphics 5500 , No , Yes ," Yes, v4.0 ",, 2GHz ,,,,,, Yes 10 / 10 , Ubuntu ,,," Yes, 1 ", 14.96 x 10.23 x 0.85 , 1600MHz , 3 MB , QWERTY + Numpad ,, 1TB 10 / 10 ,,, Linux ,, 5005U ," SD, SDHC, SDXC ", 2 Speakers ,,,,,,, 15.6 inch 
 SATA , Black , HD LED Backlit Anti-Glare TN Display , DDR4 ,, 8GB 8 / 10 , LED , 1.79 kg ,, 5400 RPM ," Yes, 1 ", No , Intel ,, 1366 x 768 pixels 7 / 10 ,," Headphone Jack, Microphone Jack, Headphone + Microphone Combo Jack ", Trackpad , Intel Core i5 (8th Gen) 10 / 10 , 45 W , 8265U , No ,,,1," Yes, 802.11 a/b/g/n/ac ", 1 Year , Upto 16GB , HDD , AMD Radeon 520 ,,," Yes, 4.2 ",, 1.6GHz , No , 720p HD ,, Li-Ion ,, Yes 10 / 10 ,," Laptop, Power Adapter & Cable, Quick Start Guide ",,, 339 x 241.9 x 19.9 , 2133MHz ,, QWERTY ,, 1TB 10 / 10 ,, No , Linux , 3 Cell ,," SD, SDHC, SDXC ", Dual speakers ,, 2GB Graphics ,,, 6 hours ,, 14 inch 
 SATA , Platinum Silver , HD LED Backlit Anti-Glare TN Display , DDR4 ,, 4GB 8 / 10 , LED , 1.79 kg ,, 5400 RPM ," Yes, 1 ", No , Intel ,, 1366 x 768 pixels 7 / 10 ,," Headphone Jack, Microphone Jack, Headphone + Microphone Combo Jack ", Trackpad , Intel Core i3 (7th Gen) 9 / 10 , 45 W ,, No ,,,1," Yes, 802.11 a/b/g/n/ac ", 1 Year ,, HDD , Intel HD Graphics 620 ,,," Yes, 4.2 ",, 2.3GHz , No , 720p HD ,, Li-Ion ,, Yes 10 / 10 , Windows 10 ," Laptop, Power Adapter & Cable, Quick Start Guide ",,, 339 x 241.9 x 19.9 , 2400MHz ,, QWERTY ,, 1TB 10 / 10 ,, No , Windows , 3 Cell , 7020U ," SD, SDHC, SDXC ", Dual speakers ,,,,, 6 hours ,, 14 inch 
 SATA , Black , HD Anti-Glare LED Display , DDR4 ,, 4GB 6 / 10 , LED , 1.9 kg ,, 5400 RPM ," Yes, 1 ", No , Intel ,, 1366 x 768 pixels 8 / 10 , Waves MaxxAudio Pro ," Microphone Jack, Headphone + Microphone Combo Jack, Headphone Jack ", Trackpad , Intel Core i3 (7th Gen) 8 / 10 ,,, No ,,,1," Yes, 802.11 a/b/g/n/ac ", 1 Year , Upto 8GB , HDD , Intel HD Graphics 620 ,,," Yes, 4.1 ",, 2.3GHz ," Yes, DVD Writer ", 720p HD ,, Li-Ion ,, Yes 10 / 10 ,," Laptop, Power Adapter & Cable, Quick Start Guide ",," Yes, 2 ",, 2400MHz ,, QWERTY ,, 1TB 10 / 10 ,, No , Linux , 4 Cell , 7020U ," SD, SDHC, SDXC ", Stereo speakers ,,,,,,, 14 inch 
 SATA , Black , HD Anti-Glare LED Display , DDR4 ,, 4GB 6 / 10 , LED , 2.2 kg ,, 5400 RPM ,, No , Intel ,, 1366 x 768 pixels 7 / 10 ,," Headphone Jack, Microphone Jack, Headphone + Microphone Combo Jack ", Trackpad , Intel Core i3 (7th Gen) 8 / 10 , 40 W ,, No ,,,1," Yes, 802.11 a/b/g/n/ac ", 1 Year ,, HDD , Intel HD Graphics 620 ,,," Yes, 4.0 ",, 2.3GHz ," Yes, DVD Writer ", 720p HD ,, Li-Ion ,, Yes 10 / 10 , Windows 10 ," Laptop, Power Adapter & Cable, Quick Start Guide ",," Yes, 2 ", 380 x 260 x 23.6 , 2133MHz ,, QWERTY ,, 1TB 10 / 10 ,, No , Windows , 4 Cell , 7020U ," SD, SDHC, SDXC ", Stereo speakers ,,,,,,, 15.6 inch 
 SATA , Black , Full HD LED Backlit Anti-Glare IPS Display , DDR4 ,, 4GB 6 / 10 , LED , 2.4 kg ,, 5400 RPM ," Yes, 1 ", No , Intel ,, 1920 x 1080 pixels 9 / 10 , Waves MaxxAudio Pro ," Headphone Jack, Headphone + Microphone Combo Jack, Microphone Jack ", Trackpad , Intel Core i3 (7th Gen) 8 / 10 , 40 W ,, No ,,,1," Yes, 802.11 a/b/g/n/ac ", 1 Year ,, HDD , Intel HD Graphics 620 ,,," Yes, 4.1 ",, 2.3GHz ," Yes, DVD Writer ", 720p HD ,, Li-Ion ,, Yes 10 / 10 , Windows 10 ," Laptop, Power Adapter & Cable, Quick Start Guide ",," Yes, 2 ", 380 x 260.3 x 25.1 , 2400MHz ,, QWERTY ,, 1TB 10 / 10 ,, Yes 10 / 10 , Windows , 4 Cell , 7020U ," SD, SDHC, SDXC ", Tuned Speakers ,,,,,,, 15.6 inch 
 SATA , Black , HD Anti-Glare LED Display , DDR4 ,, 4GB 6 / 10 , LED , 1.96 kg ,, 5400 RPM ," Yes, 1 ", No , Intel ,, 1366 x 768 pixels 8 / 10 , Waves MaxxAudio Pro ," Microphone Jack, Headphone + Microphone Combo Jack, Headphone Jack ", Trackpad , Intel Core i3 (7th Gen) 8 / 10 ,,, No ,,,1," Yes, 802.11 a/b/g/n/ac ", 1 Year , Upto 8GB , HDD , Intel HD Graphics 620 ,,," Yes, 4.1 ",, 2.3GHz , No , 720p HD ,, Li-Ion ,, Yes 10 / 10 , Windows 10 ," Laptop, Power Adapter & Cable, Quick Start Guide ",," Yes, 2 ",, 2400MHz ,, QWERTY ,, 1TB 10 / 10 ,, No , Windows , 4 Cell , 7020U ," SD, SDHC, SDXC ", Stereo speakers ,,,,,,, 14 inch 
 SATA , Black , HD LED Backlit Anti-glare Display , DDR4 , Yes , 4GB 7 / 10 ,, 2.18 kg , No , 5400 RPM ," Yes, 1 ", No , Intel ,, 1366 x 768 pixels 7 / 10 ,, Headphone + Microphone Combo Jack , Trackpad , Intel Core i3 (6th Gen) 8 / 10 ,,, No , Yes ,,," Yes, 802.11 b/g/n ", 1 Year ,, HDD , Intel HD Graphics 520 , No , Yes ," Yes, 4.0 ", No , 2GHz ," Yes, CD/DVD writer ",,,, No ," Yes, HD Webcam 10 / 10 ", Windows 10 ,,," Yes, 2 ", 14.96 x 10.24 x 0.93 , 2400MHz , 3 MB , QWERTY + Numpad ,, 1TB 10 / 10 , No ,, Windows ,, 6006U , SD , Built-in Dual Speakers ,,, Onsite , No ,, No , 15.6 inch 
 SATA , Black , Full HD LED Backlit IPS Display , DDR4 ,, 8GB 8 / 10 , LED , 2.3 kg ,, 5400 RPM ," Yes, 1 ", No , Intel ,, 1920 x 1080 pixels 8 / 10 , Waves MaxxAudio Pro ," Microphone Jack, Headphone Jack, Headphone + Microphone Combo Jack ", Trackpad , Intel Core i5 (8th Gen) 9 / 10 , 40 W ,, No ,,,1," Yes, 802.11 a/b/g/n/ac ", 1 Year , Upto 16GB , HDD , AMD Radeon 520 ,,," Yes, 4.1 ",, 1.6GHz ," Yes, DVD Writer ", 720p HD ,, Li-Ion ,, Yes 10 / 10 , Windows 10 ," Laptop, Power Adapter & Cable, Quick Start Guide ",,, 380 x 260.3 x 23.6 , 2400MHz ,, QWERTY ,, 1TB 10 / 10 ,, Yes 10 / 10 , Windows , 4 Cell , 8250U ," SD, SDHC, SDXC ", Dual speakers ,, 2GB Graphics ,,,,, 15.6 inch 
